team,elo,elo_rank,updated_at,source
Spain,2155,1,2026-06-05,World Football Elo Ratings cache
Argentina,2113,2,2026-06-05,World Football Elo Ratings cache
France,2062,3,2026-06-05,World Football Elo Ratings cache
England,2020,4,2026-06-05,World Football Elo Ratings cache
Brazil,1988,5,2026-06-05,World Football Elo Ratings cache
Portugal,1968,6,2026-06-05,World Football Elo Ratings cache
Netherlands,1952,7,2026-06-05,World Football Elo Ratings cache
Belgium,1942,8,2026-06-05,World Football Elo Ratings cache
Germany,1935,9,2026-06-05,World Football Elo Ratings cache
Croatia,1902,10,2026-06-05,World Football Elo Ratings cache
Morocco,1884,11,2026-06-05,World Football Elo Ratings cache
Colombia,1876,12,2026-06-05,World Football Elo Ratings cache
Uruguay,1868,13,2026-06-05,World Football Elo Ratings cache
Mexico,1858,14,2026-06-05,World Football Elo Ratings cache
USA,1846,15,2026-06-05,World Football Elo Ratings cache
Senegal,1840,16,2026-06-05,World Football Elo Ratings cache
Japan,1838,17,2026-06-05,World Football Elo Ratings cache
Switzerland,1832,18,2026-06-05,World Football Elo Ratings cache
IR Iran,1822,19,2026-06-05,World Football Elo Ratings cache
Korea Republic,1802,20,2026-06-05,World Football Elo Ratings cache
Ecuador,1800,21,2026-06-05,World Football Elo Ratings cache
Türkiye,1796,22,2026-06-05,World Football Elo Ratings cache
Austria,1792,23,2026-06-05,World Football Elo Ratings cache
Australia,1786,24,2026-06-05,World Football Elo Ratings cache
Algeria,1778,25,2026-06-05,World Football Elo Ratings cache
Egypt,1776,26,2026-06-05,World Football Elo Ratings cache
Canada,1768,27,2026-06-05,World Football Elo Ratings cache
Sweden,1762,28,2026-06-05,World Football Elo Ratings cache
Norway,1758,29,2026-06-05,World Football Elo Ratings cache
Paraguay,1749,30,2026-06-05,World Football Elo Ratings cache
Panama,1745,31,2026-06-05,World Football Elo Ratings cache
Czechia,1743,32,2026-06-05,World Football Elo Ratings cache
Côte d'Ivoire,1734,33,2026-06-05,World Football Elo Ratings cache
Scotland,1718,34,2026-06-05,World Football Elo Ratings cache
Tunisia,1710,35,2026-06-05,World Football Elo Ratings cache
Uzbekistan,1696,36,2026-06-05,World Football Elo Ratings cache
Congo DR,1688,37,2026-06-05,World Football Elo Ratings cache
Qatar,1670,38,2026-06-05,World Football Elo Ratings cache
Iraq,1668,39,2026-06-05,World Football Elo Ratings cache
South Africa,1662,40,2026-06-05,World Football Elo Ratings cache
Saudi Arabia,1654,41,2026-06-05,World Football Elo Ratings cache
Ghana,1646,42,2026-06-05,World Football Elo Ratings cache
Jordan,1634,43,2026-06-05,World Football Elo Ratings cache
Cabo Verde,1618,44,2026-06-05,World Football Elo Ratings cache
Bosnia and Herzegovina,1606,45,2026-06-05,World Football Elo Ratings cache
Curaçao,1548,46,2026-06-05,World Football Elo Ratings cache
Haiti,1544,47,2026-06-05,World Football Elo Ratings cache
New Zealand,1515,48,2026-06-05,World Football Elo Ratings cache
