team,group,confederation,attack_strength,defense_strength,source_note,elo,elo_rank,elo_updated_at,fifa_rank,fifa_points,fifa_updated_at,recent_form,form_string,goals_for_last_n,goals_against_last_n,matches_counted,squad_strength,top_player_rating,squad_market_value_m,players_tracked,data_quality_score,phase2_data_sources
Spain,H,UEFA,98.0,98.0,Phase 4 realistic cached seed; refresh via connectors before production use,2155,1,2026-06-05,1,1950.8,2026-06-05,0.867,W-D-W-W-W,17,3,5,94.2,95.0,733.3,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Argentina,J,CONMEBOL,98.0,98.0,Phase 4 realistic cached seed; refresh via connectors before production use,2113,2,2026-06-05,2,1945.6,2026-06-05,0.867,W-W-W-D-W,16,3,5,93.4,95.0,725.8,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
France,I,UEFA,98.0,98.0,Phase 4 realistic cached seed; refresh via connectors before production use,2062,3,2026-06-05,3,1940.4,2026-06-05,0.867,W-D-W-W-W,10,2,5,93.2,95.0,697.7,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
England,L,UEFA,98.0,97.9,Phase 4 realistic cached seed; refresh via connectors before production use,2020,4,2026-06-05,4,1935.2,2026-06-05,0.667,D-W-W-L-W,13,7,5,93.1,95.0,714.6,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Brazil,C,CONMEBOL,98.0,96.4,Phase 4 realistic cached seed; refresh via connectors before production use,1988,5,2026-06-05,5,1930.0,2026-06-05,0.667,W-W-W-D-L,15,7,5,92.9,95.0,722.7,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Portugal,K,UEFA,98.0,95.4,Phase 4 realistic cached seed; refresh via connectors before production use,1968,6,2026-06-05,6,1924.8,2026-06-05,0.867,W-W-D-W-W,12,3,5,92.2,95.0,678.3,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Netherlands,F,UEFA,98.0,94.2,Phase 4 realistic cached seed; refresh via connectors before production use,1952,7,2026-06-05,8,1914.4,2026-06-05,0.667,W-W-L-D-W,12,6,5,90.5,94.2,666.5,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Belgium,G,UEFA,96.9,90.6,Phase 4 realistic cached seed; refresh via connectors before production use,1942,8,2026-06-05,9,1909.2,2026-06-05,0.667,W-W-D-W-L,9,8,5,89.6,93.2,618.3,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Germany,E,UEFA,98.0,92.7,Phase 4 realistic cached seed; refresh via connectors before production use,1935,9,2026-06-05,10,1904.0,2026-06-05,0.667,W-L-W-D-W,13,6,5,90.9,95.0,695.1,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Croatia,L,UEFA,90.7,91.2,Phase 4 realistic cached seed; refresh via connectors before production use,1902,10,2026-06-05,11,1898.8,2026-06-05,0.667,W-D-W-L-W,8,7,5,87.2,91.3,599.7,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Morocco,C,CAF,89.0,89.0,Phase 4 realistic cached seed; refresh via connectors before production use,1884,11,2026-06-05,12,1893.6,2026-06-05,0.733,W-D-W-W-D,12,5,5,85.6,89.0,570.9,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Colombia,K,CONMEBOL,90.4,87.2,Phase 4 realistic cached seed; refresh via connectors before production use,1876,12,2026-06-05,13,1888.4,2026-06-05,0.667,W-D-W-W-L,12,7,5,87.1,90.5,600.3000000000001,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
